                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92161,                 2.4116,                 1.3415,                 0.5171,                0.76348,                 0.7019,                0.56439,                 0.7423,                 1.7061,                 1.2401,             0.00016481,             0.00016481,             0.00016481
                      2,                0.97226,                 1.5499,                 1.3402,                0.56754,                0.68644,                0.71233,                 0.5167,                0.95055,                 2.0069,                 1.5046,              0.0003282,              0.0003282,              0.0003282
                      3,                 1.0255,                 1.4722,                 1.3597,                0.52083,                0.56876,                0.54555,                0.34325,                 1.0521,                 2.6406,                 1.7169,             0.00048828,             0.00048828,             0.00048828
                      4,                 1.0049,                 1.3996,                 1.3282,                0.60784,                0.80354,                 0.7919,                0.61487,                0.89369,                 1.5394,                 1.4263,             0.00048515,             0.00048515,             0.00048515
                      5,                0.95832,                  1.231,                 1.2841,                0.72861,                0.68137,                0.78667,                0.62213,                 0.8263,                 1.3079,                 1.2693,             0.00048515,             0.00048515,             0.00048515
                      6,                0.94293,                 1.1672,                 1.2593,                0.66903,                0.76313,                0.81676,                0.62539,                0.84177,                 1.1377,                 1.3062,              0.0004802,              0.0004802,              0.0004802
                      7,                0.90949,                 1.0957,                 1.2529,                0.74239,                0.79807,                0.86238,                0.70345,                0.74074,                 0.8376,                 1.2151,             0.00047525,             0.00047525,             0.00047525
                      8,                0.91468,                 1.0234,                 1.2388,                 0.8933,                0.86773,                  0.923,                0.73207,                0.80521,                0.68558,                 1.2584,              0.0004703,              0.0004703,              0.0004703
                      9,                 0.9048,                0.96085,                 1.2377,                0.82687,                0.83248,                0.90596,                0.76075,                0.71718,                0.71319,                 1.1795,             0.00046535,             0.00046535,             0.00046535
                     10,                0.84276,                0.88864,                 1.1998,                0.79113,                0.85594,                 0.9053,                0.74591,                0.74907,                0.76734,                 1.2064,              0.0004604,              0.0004604,              0.0004604
                     11,                0.84055,                0.90499,                 1.1868,                0.79325,                0.93278,                0.91423,                0.75999,                0.68686,                0.62754,                   1.16,             0.00045545,             0.00045545,             0.00045545
                     12,                0.81425,                0.80509,                 1.1885,                0.78796,                0.94656,                0.94628,                0.78009,                0.73742,                0.61019,                 1.2018,              0.0004505,              0.0004505,              0.0004505
                     13,                0.83235,                0.80587,                 1.1769,                0.79474,                0.94225,                0.93188,                0.78267,                0.68792,                0.59981,                  1.157,             0.00044555,             0.00044555,             0.00044555
                     14,                0.83843,                0.80937,                 1.1979,                0.83492,                0.95657,                0.94477,                0.77439,                0.72973,                0.51179,                 1.1988,              0.0004406,              0.0004406,              0.0004406
                     15,                 0.8376,                0.79189,                 1.1965,                0.77945,                0.96597,                0.93494,                0.77803,                0.69815,                0.55246,                 1.1346,             0.00043565,             0.00043565,             0.00043565
                     16,                0.81683,                0.76351,                 1.1766,                0.88829,                0.95058,                0.94209,                0.76842,                0.73417,                0.51966,                 1.1716,              0.0004307,              0.0004307,              0.0004307
                     17,                 0.8191,                0.70968,                 1.1792,                0.88981,                0.86227,                0.95335,                0.79277,                0.67886,                0.55533,                 1.1525,             0.00042575,             0.00042575,             0.00042575
                     18,                0.78257,                0.68154,                  1.153,                0.86516,                0.97094,                0.95924,                0.79851,                0.67083,                0.45437,                  1.138,              0.0004208,              0.0004208,              0.0004208
                     19,                0.78251,                0.67273,                 1.1578,                0.89547,                0.92317,                 0.9572,                0.80745,                0.65983,                 0.4932,                 1.1088,             0.00041585,             0.00041585,             0.00041585
                     20,                0.80425,                0.69248,                 1.1615,                0.93037,                0.96638,                0.96903,                0.81186,                0.67841,                0.43679,                 1.1295,              0.0004109,              0.0004109,              0.0004109
                     21,                0.79207,                0.67252,                 1.1554,                0.90362,                0.94116,                0.96537,                0.82125,                0.68242,                0.45708,                  1.135,             0.00040595,             0.00040595,             0.00040595
                     22,                0.80159,                 0.6585,                 1.1529,                0.90813,                0.97456,                0.98206,                0.84359,                0.66169,                0.38554,                 1.1019,               0.000401,               0.000401,               0.000401
                     23,                0.79474,                0.64997,                 1.1572,                  0.963,                0.96612,                0.99355,                0.82607,                0.67084,                0.42341,                 1.1244,             0.00039605,             0.00039605,             0.00039605
                     24,                0.78051,                0.61896,                 1.1583,                0.93243,                0.97731,                0.99111,                0.83848,                0.65134,                0.40444,                 1.1055,              0.0003911,              0.0003911,              0.0003911
                     25,                0.76631,                0.57829,                 1.1358,                0.92478,                0.91865,                0.97013,                0.81458,                0.69207,                0.48522,                 1.1471,             0.00038615,             0.00038615,             0.00038615
                     26,                0.73973,                 0.5812,                 1.1255,                0.95089,                0.98747,                0.99266,                0.82996,                0.68529,                0.35672,                 1.1456,              0.0003812,              0.0003812,              0.0003812
                     27,                0.76819,                0.58242,                 1.1358,                0.89014,                0.93179,                0.97778,                0.83406,                0.62911,                0.48938,                 1.0962,             0.00037625,             0.00037625,             0.00037625
                     28,                0.76629,                0.56633,                 1.1352,                 0.9475,                0.96941,                0.98656,                0.82771,                0.68102,                0.36246,                 1.1461,              0.0003713,              0.0003713,              0.0003713
                     29,                0.74049,                0.57374,                 1.1245,                 0.9496,                0.97487,                 0.9804,                0.83781,                0.66828,                0.36336,                 1.1269,             0.00036635,             0.00036635,             0.00036635
                     30,                 0.7415,                  0.555,                 1.1248,                0.94528,                0.97431,                 0.9838,                 0.8396,                0.66734,                0.38094,                 1.1075,              0.0003614,              0.0003614,              0.0003614
                     31,                0.74803,                 0.5306,                  1.129,                0.93219,                0.97373,                0.98166,                0.82234,                0.66627,                0.35998,                 1.1467,             0.00035645,             0.00035645,             0.00035645
                     32,                0.72102,                0.52332,                 1.1046,                0.92944,                0.95828,                0.97417,                0.83118,                0.67569,                 0.3764,                 1.1428,              0.0003515,              0.0003515,              0.0003515
                     33,                0.73636,                0.51897,                 1.1136,                0.85605,                0.96846,                0.96719,                0.82632,                0.66311,                 0.5053,                 1.1092,             0.00034655,             0.00034655,             0.00034655
                     34,                 0.7476,                 0.5198,                 1.1206,                0.94617,                0.94837,                0.98407,                0.84822,                0.64921,                0.36393,                 1.1069,              0.0003416,              0.0003416,              0.0003416
                     35,                0.73441,                0.51594,                 1.1202,                0.96533,                0.96233,                0.98102,                0.84811,                0.63996,                0.33596,                 1.1002,             0.00033665,             0.00033665,             0.00033665
                     36,                0.72821,                0.50182,                 1.1183,                0.96419,                0.97439,                 0.9836,                0.84368,                0.65647,                0.32693,                  1.139,              0.0003317,              0.0003317,              0.0003317
                     37,                0.72575,                0.49865,                 1.1215,                0.96949,                0.98702,                0.99298,                0.85018,                0.65379,                0.30635,                 1.1253,             0.00032675,             0.00032675,             0.00032675
                     38,                0.72201,                0.46963,                 1.1141,                 0.9578,                0.98858,                0.99298,                0.85432,                0.64626,                 0.3142,                 1.0965,              0.0003218,              0.0003218,              0.0003218
                     39,                0.70203,                0.47552,                 1.0964,                0.95368,                 0.9926,                0.99177,                0.85686,                0.63366,                0.29867,                 1.1114,             0.00031685,             0.00031685,             0.00031685
                     40,                0.70554,                0.46925,                 1.0992,                0.97069,                0.96683,                0.98133,                0.85348,                0.63834,                0.33511,                 1.1043,              0.0003119,              0.0003119,              0.0003119
                     41,                0.70717,                 0.4635,                 1.0966,                0.94246,                0.98132,                 0.9851,                 0.8501,                0.64014,                0.31748,                 1.1006,             0.00030695,             0.00030695,             0.00030695
                     42,                0.69655,                0.46112,                 1.1011,                 0.9476,                0.99656,                0.99137,                0.85244,                0.63527,                0.29316,                  1.104,               0.000302,               0.000302,               0.000302
                     43,                0.68491,                0.44892,                 1.0743,                0.94119,                0.96757,                0.99116,                0.85451,                 0.6345,                0.32519,                 1.0875,             0.00029705,             0.00029705,             0.00029705
                     44,                0.70168,                0.45492,                 1.0946,                0.96554,                 0.9879,                0.98773,                0.84565,                0.65642,                0.30209,                 1.1119,              0.0002921,              0.0002921,              0.0002921
                     45,                0.69503,                0.44497,                 1.0796,                0.96703,                0.98923,                0.99298,                 0.8602,                0.63579,                 0.3137,                 1.1006,             0.00028715,             0.00028715,             0.00028715
                     46,                0.68635,                0.44157,                   1.09,                0.95547,                0.98764,                0.99161,                0.85218,                 0.6408,                0.30666,                 1.0953,              0.0002822,              0.0002822,              0.0002822
                     47,                0.69482,                0.44296,                 1.0878,                0.97535,                      1,                0.99455,                0.86396,                0.64341,                0.26913,                 1.0921,             0.00027725,             0.00027725,             0.00027725
                     48,                0.69649,                0.43649,                 1.1025,                 0.9649,                0.98773,                 0.9882,                0.85681,                 0.6209,                0.27964,                 1.0825,              0.0002723,              0.0002723,              0.0002723
                     49,                0.69524,                  0.449,                 1.1023,                0.97277,                0.99062,                0.99455,                0.86207,                0.63138,                0.28562,                 1.1057,             0.00026735,             0.00026735,             0.00026735
                     50,                0.68219,                 0.4316,                 1.0884,                0.96574,                0.98098,                0.99455,                0.86395,                0.63572,                0.29233,                  1.097,              0.0002624,              0.0002624,              0.0002624
                     51,                0.69662,                0.41978,                 1.0906,                0.96719,                0.99786,                0.99426,                0.86825,                0.62193,                0.27721,                 1.0714,             0.00025745,             0.00025745,             0.00025745
                     52,                0.69044,                0.42967,                 1.0867,                0.96189,                0.94976,                0.99205,                0.85191,                0.65119,                0.32684,                 1.1062,              0.0002525,              0.0002525,              0.0002525
                     53,                0.69102,                0.41662,                 1.0905,                0.97418,                0.98565,                0.99455,                0.86893,                0.63738,                0.26872,                 1.0974,             0.00024755,             0.00024755,             0.00024755
                     54,                0.65714,                0.41542,                  1.078,                0.96532,                0.98183,                0.99455,                0.86216,                0.62206,                0.28573,                 1.0947,              0.0002426,              0.0002426,              0.0002426
                     55,                0.66732,                0.40842,                  1.078,                 0.9684,                0.99062,                0.98988,                0.85972,                0.63562,                0.27729,                 1.1037,             0.00023765,             0.00023765,             0.00023765
                     56,                0.66988,                0.41231,                 1.0792,                0.98025,                0.98333,                0.99193,                0.85803,                0.64863,                0.27949,                 1.1067,              0.0002327,              0.0002327,              0.0002327
                     57,                0.67016,                0.41122,                 1.0782,                0.98147,                0.97413,                0.99251,                0.87341,                0.62479,                0.25958,                 1.0852,             0.00022775,             0.00022775,             0.00022775
                     58,                0.65513,                 0.3976,                 1.0686,                0.96645,                0.98394,                0.98906,                  0.858,                0.63583,                0.27994,                 1.0898,              0.0002228,              0.0002228,              0.0002228
                     59,                0.67547,                0.40532,                 1.0778,                0.95667,                0.98753,                0.98915,                0.85795,                 0.6405,                0.28498,                 1.1133,             0.00021785,             0.00021785,             0.00021785
                     60,                0.64749,                0.36921,                 1.0699,                0.96901,                0.98495,                0.99177,                0.85942,                0.64235,                 0.2897,                 1.1054,              0.0002129,              0.0002129,              0.0002129
                     61,                0.67386,                0.42503,                 1.0881,                0.97571,                0.98843,                0.99357,                0.87079,                0.64568,                 0.2677,                 1.1205,             0.00020795,             0.00020795,             0.00020795
                     62,                 0.6318,                 0.3755,                 1.0565,                0.97486,                0.99687,                0.99472,                0.86779,                0.65284,                0.26408,                 1.1095,               0.000203,               0.000203,               0.000203
                     63,                0.64489,                0.40223,                 1.0627,                0.96746,                 0.9866,                0.99025,                0.85859,                 0.6515,                 0.2797,                 1.1093,             0.00019805,             0.00019805,             0.00019805
                     64,                0.65735,                0.38781,                 1.0812,                0.97694,                0.99408,                 0.9947,                0.86452,                0.63892,                0.26412,                 1.0963,              0.0001931,              0.0001931,              0.0001931
                     65,                0.62616,                0.36936,                 1.0495,                0.98132,                0.98955,                0.99425,                0.86629,                0.64007,                0.26702,                 1.1093,             0.00018815,             0.00018815,             0.00018815
                     66,                0.63284,                0.36223,                 1.0635,                0.98582,                0.99401,                0.99456,                0.86305,                0.64022,                  0.269,                 1.0992,              0.0001832,              0.0001832,              0.0001832
                     67,                0.63645,                  0.376,                 1.0599,                0.99041,                0.99687,                0.99485,                0.87133,                0.63443,                0.25694,                 1.1133,             0.00017825,             0.00017825,             0.00017825
                     68,                0.63259,                0.36428,                 1.0549,                0.97762,                0.99687,                0.99039,                0.85969,                0.64774,                0.26631,                  1.105,              0.0001733,              0.0001733,              0.0001733
                     69,                0.63612,                0.36067,                 1.0574,                0.98147,                0.99364,                  0.995,                0.86188,                0.64085,                0.26272,                 1.1139,             0.00016835,             0.00016835,             0.00016835
                     70,                0.62218,                0.35473,                  1.052,                0.97205,                0.98733,                0.98821,                0.85144,                0.65442,                0.27949,                   1.11,              0.0001634,              0.0001634,              0.0001634
                     71,                0.60608,                0.34588,                  1.046,                0.97418,                0.99383,                0.99411,                0.86579,                0.64198,                0.26884,                 1.1033,             0.00015845,             0.00015845,             0.00015845
                     72,                0.62055,                0.35703,                 1.0512,                 0.9795,                 0.9957,                0.99485,                0.86237,                0.65194,                0.26034,                 1.1156,              0.0001535,              0.0001535,              0.0001535
                     73,                0.61223,                 0.3597,                 1.0441,                0.98338,                0.99001,                0.99485,                0.87735,                0.63547,                0.25241,                 1.0992,             0.00014855,             0.00014855,             0.00014855
                     74,                0.64438,                0.36572,                 1.0594,                0.98396,                0.98947,                0.99485,                 0.8689,                0.62786,                0.25135,                 1.0901,              0.0001436,              0.0001436,              0.0001436
                     75,                0.61997,                0.36389,                 1.0453,                0.98575,                0.99313,                0.99485,                0.87236,                0.62679,                0.24578,                 1.0949,             0.00013865,             0.00013865,             0.00013865
                     76,                0.60653,                0.34387,                 1.0489,                0.98438,                0.99327,                0.99485,                0.87427,                0.63408,                0.24309,                 1.0954,              0.0001337,              0.0001337,              0.0001337
                     77,                0.61654,                0.34295,                 1.0435,                0.98756,                0.99212,                0.99485,                0.86571,                0.63604,                 0.2483,                 1.1051,             0.00012875,             0.00012875,             0.00012875
                     78,                 0.5859,                0.34737,                 1.0361,                0.98688,                0.99278,                0.99472,                0.87952,                0.63382,                0.24931,                 1.0955,              0.0001238,              0.0001238,              0.0001238
                     79,                 0.5962,                0.33174,                 1.0326,                0.98797,                0.99139,                0.99485,                0.86936,                0.64469,                0.24352,                 1.1079,             0.00011885,             0.00011885,             0.00011885
                     80,                0.59883,                0.32833,                 1.0373,                0.98892,                0.99147,                0.99485,                0.86861,                0.64919,                0.25242,                 1.1085,              0.0001139,              0.0001139,              0.0001139
                     81,                0.58972,                0.36802,                 1.0303,                0.98914,                0.99348,                0.99485,                 0.8686,                0.64156,                0.23973,                 1.1069,             0.00010895,             0.00010895,             0.00010895
                     82,                0.57555,                0.31609,                 1.0296,                0.99133,                0.99687,                0.99485,                0.87285,                0.64963,                0.24635,                 1.1233,               0.000104,               0.000104,               0.000104
                     83,                 0.5899,                0.32228,                 1.0339,                0.98638,                0.98969,                0.99485,                0.87414,                0.64252,                0.24424,                 1.1165,              9.905e-05,              9.905e-05,              9.905e-05
                     84,                0.58635,                0.32634,                 1.0381,                0.99021,                0.99687,                0.99485,                0.87775,                0.64161,                0.24648,                 1.1118,               9.41e-05,               9.41e-05,               9.41e-05
                     85,                 0.5805,                 0.3124,                 1.0284,                0.99299,                0.99126,                0.99485,                0.87547,                0.64177,                0.24069,                 1.1132,              8.915e-05,              8.915e-05,              8.915e-05
                     86,                0.55928,                0.30783,                 1.0186,                0.98539,                0.99292,                0.99485,                0.86759,                0.64289,                 0.2471,                 1.1189,               8.42e-05,               8.42e-05,               8.42e-05
                     87,                0.57648,                0.30656,                  1.026,                0.98808,                0.99687,                0.99485,                 0.8702,                0.63424,                0.24262,                 1.1099,              7.925e-05,              7.925e-05,              7.925e-05
                     88,                0.56784,                0.30161,                 1.0208,                 0.9875,                0.99515,                0.99485,                0.88097,                 0.6348,                0.24267,                 1.1107,               7.43e-05,               7.43e-05,               7.43e-05
